stock_code,company_name,sheet,row_index,column,gold_value,auto_value,status,mismatch_reason,missing_reason
001282,三联锻造,认缴流量,0,PDF页码,第31页,30,mismatch,文档标注差异,
001282,三联锻造,认缴流量,0,增资日期,2004年1月,2004-06-18,mismatch,date_mismatch,
001282,三联锻造,认缴流量,0,批次标签,设立,第1批,mismatch,文档标注差异,
001282,三联锻造,认缴流量,0,认购方,孙国奉,孙国奉,match,,
001282,三联锻造,认缴流量,0,认购数量(万股),175,,missing,,event_not_recognized
001282,三联锻造,认缴流量,0,认购金额(万元),175,175,match,,
001282,三联锻造,认缴流量,0,认购价格(元/股),1,,missing,,event_not_recognized
001282,三联锻造,认缴流量,0,原文证据,2004年1月，孙国奉、孙国敏、张松满共同出资设立三联有限，注册资本500万元，其中孙国奉出资175万元，占比35%,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，约定三联有限的注册资本500万元，由孙国奉以机器设备出资175万元，占注册资本35%；孙国敏以货币和机器设备出资162.5万元，占注册资本32.5%；张松满以货币和机器设备出资162.5万元，占注册资本32.5%。2004年6月18日，三联有限设立经芜湖市工商行政管理局核准，并取得注册号为3402012102584的《营业执照》。,mismatch,文档标注差异,
001282,三联锻造,认缴流量,1,PDF页码,第31页,30,mismatch,文档标注差异,
001282,三联锻造,认缴流量,1,增资日期,2004年1月,2004-06-18,mismatch,date_mismatch,
001282,三联锻造,认缴流量,1,批次标签,设立,第1批,mismatch,文档标注差异,
001282,三联锻造,认缴流量,1,认购方,孙国敏,孙国敏,match,,
001282,三联锻造,认缴流量,1,认购数量(万股),162.5,,missing,,event_not_recognized
001282,三联锻造,认缴流量,1,认购金额(万元),162.5,162.5,match,,
001282,三联锻造,认缴流量,1,认购价格(元/股),1,,missing,,event_not_recognized
001282,三联锻造,认缴流量,1,原文证据,孙国敏出资162.5万元，占比32.5%,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，约定三联有限的注册资本500万元，由孙国奉以机器设备出资175万元，占注册资本35%；孙国敏以货币和机器设备出资162.5万元，占注册资本32.5%；张松满以货币和机器设备出资162.5万元，占注册资本32.5%。,mismatch,文档标注差异,
001282,三联锻造,认缴流量,2,PDF页码,第31页,30,mismatch,文档标注差异,
001282,三联锻造,认缴流量,2,增资日期,2004年1月,2004-06-18,mismatch,date_mismatch,
001282,三联锻造,认缴流量,2,批次标签,设立,第1批,mismatch,文档标注差异,
001282,三联锻造,认缴流量,2,认购方,张松满,张松满,match,,
001282,三联锻造,认缴流量,2,认购数量(万股),162.5,,missing,,event_not_recognized
001282,三联锻造,认缴流量,2,认购金额(万元),162.5,162.5,match,,
001282,三联锻造,认缴流量,2,认购价格(元/股),1,,missing,,event_not_recognized
001282,三联锻造,认缴流量,2,原文证据,张松满出资162.5万元，占比32.5%,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，约定三联有限的注册资本500万元，由孙国奉以机器设备出资175万元，占注册资本35%；孙国敏以货币和机器设备出资162.5万元，占注册资本32.5%；张松满以货币和机器设备出资162.5万元，占注册资本32.5%。,mismatch,文档标注差异,
001282,三联锻造,认缴流量,3,PDF页码,第31页,33,mismatch,文档标注差异,
001282,三联锻造,认缴流量,3,增资日期,2018年11月,2007-12-31,mismatch,date_mismatch,
001282,三联锻造,认缴流量,3,批次标签,整体变更,第2批,mismatch,文档标注差异,
001282,三联锻造,认缴流量,3,认购方,孙国奉等全体股东,温州三联锻造有限公司,mismatch,shareholder_name_mismatch,
001282,三联锻造,认缴流量,3,认购数量(万股),8150,,missing,,event_not_recognized
001282,三联锻造,认缴流量,3,认购金额(万元),8150,620,mismatch,value_error,
001282,三联锻造,认缴流量,3,认购价格(元/股),净资产折股,,missing,,event_not_recognized
001282,三联锻造,认缴流量,3,原文证据,2018年11月，三联有限整体变更为股份公司，以经审计净资产折股8150万股,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。",mismatch,文档标注差异,
001282,三联锻造,认缴流量,4,PDF页码,第32页,33,mismatch,文档标注差异,
001282,三联锻造,认缴流量,4,增资日期,2019年12月,2007-12-31,mismatch,date_mismatch,
001282,三联锻造,认缴流量,4,批次标签,第一次增资,第2批,mismatch,文档标注差异,
001282,三联锻造,认缴流量,4,认购方,三联合伙（员工持股平台）,张爱连,mismatch,shareholder_name_mismatch,
001282,三联锻造,认缴流量,4,认购数量(万股),348,,missing,,event_not_recognized
001282,三联锻造,认缴流量,4,认购金额(万元),1566,400,mismatch,value_error,
001282,三联锻造,认缴流量,4,认购价格(元/股),4.5,,missing,,event_not_recognized
001282,三联锻造,认缴流量,4,原文证据,2019年12月，三联合伙以现金1566万元认购新增注册资本348万元，每股价格4.50元,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。",mismatch,文档标注差异,
001282,三联锻造,认缴流量,5,PDF页码,,33,extra,文档标注差异,
001282,三联锻造,认缴流量,5,增资日期,,2007-12-31,extra,date_mismatch,
001282,三联锻造,认缴流量,5,批次标签,,第2批,extra,文档标注差异,
001282,三联锻造,认缴流量,5,认购方,,孙娟丽,extra,shareholder_name_mismatch,
001282,三联锻造,认缴流量,5,认购金额(万元),,380,extra,value_error,
001282,三联锻造,认缴流量,5,原文证据,,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。",extra,文档标注差异,
001282,三联锻造,认缴流量,6,PDF页码,,33,extra,文档标注差异,
001282,三联锻造,认缴流量,6,增资日期,,2007-12-31,extra,date_mismatch,
001282,三联锻造,认缴流量,6,批次标签,,第2批,extra,文档标注差异,
001282,三联锻造,认缴流量,6,认购方,,孙国奉,extra,shareholder_name_mismatch,
001282,三联锻造,认缴流量,6,认购金额(万元),,100,extra,value_error,
001282,三联锻造,认缴流量,6,原文证据,,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。",extra,文档标注差异,
001282,三联锻造,认缴流量,7,PDF页码,,33,extra,文档标注差异,
001282,三联锻造,认缴流量,7,增资日期,,2014-05-31,extra,date_mismatch,
001282,三联锻造,认缴流量,7,批次标签,,第3批,extra,文档标注差异,
001282,三联锻造,认缴流量,7,认购方,,孙国奉,extra,shareholder_name_mismatch,
001282,三联锻造,认缴流量,7,认购金额(万元),,1995,extra,value_error,
001282,三联锻造,认缴流量,7,原文证据,,"三联有限增资3,000万元，其中由孙国奉出资1,995万元，张松满出资1,005万元。2014年5月，三联有限第二次增资，注册资本：5,000万元。",extra,文档标注差异,
001282,三联锻造,认缴流量,8,PDF页码,,33,extra,文档标注差异,
001282,三联锻造,认缴流量,8,增资日期,,2014-05-31,extra,date_mismatch,
001282,三联锻造,认缴流量,8,批次标签,,第3批,extra,文档标注差异,
001282,三联锻造,认缴流量,8,认购方,,张松满,extra,shareholder_name_mismatch,
001282,三联锻造,认缴流量,8,认购金额(万元),,1005,extra,value_error,
001282,三联锻造,认缴流量,8,原文证据,,"三联有限增资3,000万元，其中由孙国奉出资1,995万元，张松满出资1,005万元。2014年5月，三联有限第二次增资，注册资本：5,000万元。",extra,文档标注差异,
001282,三联锻造,认缴流量,9,PDF页码,,33,extra,文档标注差异,
001282,三联锻造,认缴流量,9,增资日期,,2017-02-28,extra,date_mismatch,
001282,三联锻造,认缴流量,9,批次标签,,第4批,extra,文档标注差异,
001282,三联锻造,认缴流量,9,认购方,,安徽高新同华创业投资基金（有限合伙）,extra,shareholder_name_mismatch,
001282,三联锻造,认缴流量,9,认购金额(万元),,1150,extra,value_error,
001282,三联锻造,认缴流量,9,原文证据,,"三联有限增资1,150万元，由高新同华出资1,150万元。2017年2月，三联有限第三次增资，注册资本：6,150万元。",extra,文档标注差异,
001282,三联锻造,认缴流量,10,PDF页码,,34,extra,文档标注差异,
001282,三联锻造,认缴流量,10,增资日期,,2017-11-30,extra,date_mismatch,
001282,三联锻造,认缴流量,10,批次标签,,第5批,extra,文档标注差异,
001282,三联锻造,认缴流量,10,认购方,,孙国奉,extra,shareholder_name_mismatch,
001282,三联锻造,认缴流量,10,认购金额(万元),,1330,extra,value_error,
001282,三联锻造,认缴流量,10,原文证据,,"三联有限增资2,000万元，三联有限将未分配利润2,000万元向孙国奉、张松满定向转增注册资本，其中孙国奉定向转增1,330万元，张松满定向转增670万元。2017年11月，三联有限第四次增资，注册资本：8,150万元。",extra,文档标注差异,
001282,三联锻造,认缴流量,11,PDF页码,,34,extra,文档标注差异,
001282,三联锻造,认缴流量,11,增资日期,,2017-11-30,extra,date_mismatch,
001282,三联锻造,认缴流量,11,批次标签,,第5批,extra,文档标注差异,
001282,三联锻造,认缴流量,11,认购方,,张松满,extra,shareholder_name_mismatch,
001282,三联锻造,认缴流量,11,认购金额(万元),,670,extra,value_error,
001282,三联锻造,认缴流量,11,原文证据,,"三联有限增资2,000万元，三联有限将未分配利润2,000万元向孙国奉、张松满定向转增注册资本，其中孙国奉定向转增1,330万元，张松满定向转增670万元。2017年11月，三联有限第四次增资，注册资本：8,150万元。",extra,文档标注差异,
001282,三联锻造,认缴流量,12,PDF页码,,35,extra,文档标注差异,
001282,三联锻造,认缴流量,12,增资日期,,2019-12-04,extra,date_mismatch,
001282,三联锻造,认缴流量,12,批次标签,,第6批,extra,文档标注差异,
001282,三联锻造,认缴流量,12,认购方,,芜湖三联控股合伙企业（有限合伙）,extra,shareholder_name_mismatch,
001282,三联锻造,认缴流量,12,认购数量(万股),,348,extra,value_error,
001282,三联锻造,认缴流量,12,认购金额(万元),,1566,extra,value_error,
001282,三联锻造,认缴流量,12,认购价格(元/股),,4.5,extra,price_mismatch,
001282,三联锻造,认缴流量,12,原文证据,,"2019年12月4日，公司召开2019年第二次临时股东大会，审议通过了《关于公司增资扩股的议案》，议案决定拟将公司的注册资本由8,150万元增加至8,498万元。新增注册资本由新股东三联合伙以每股4.50元的价格认购，其中348万元计入注册资本，剩余1,218万元计入资本公积。2019年12月17日，三联锻造本次增资经芜湖市市场监督管理局核准。",extra,文档标注差异,
001282,三联锻造,股权存量,0,Col0,,30,extra,其他,
001282,三联锻造,股权存量,0,Col1,,2004-06-18设立后,extra,其他,
001282,三联锻造,股权存量,0,Col2,,有限公司注册资本,extra,其他,
001282,三联锻造,股权存量,0,Col4,,500,extra,其他,
001282,三联锻造,股权存量,0,Col5,,孙国奉,extra,其他,
001282,三联锻造,股权存量,0,Col7,,175,extra,其他,
001282,三联锻造,股权存量,0,Col8,,35,extra,其他,
