公司名称,股票代码,板块,文件名,页码数,时间,文件大小(MB),文件路径,年份
维峰电子,301328,创业板,301328_维峰电子_2022-09-01.pdf,331,2022-09-01,8.22,/Users/chenyuang/Desktop/巨潮网资料/2022/301328_维峰电子_2022-09-01.pdf,2022
锐捷网络,301165,创业板,301165_锐捷网络_2022-11-16.pdf,627,2022-11-16,15.38,/Users/chenyuang/Desktop/巨潮网资料/2022/301165_锐捷网络_2022-11-16.pdf,2022
景业智能,688290,科创板,688290_景业智能_2022-04-25.pdf,355,2022-04-25,6.76,/Users/chenyuang/Desktop/巨潮网资料/2022/688290_景业智能_2022-04-25.pdf,2022
近岸蛋白,688137,科创板,688137_近岸蛋白_2022-09-26.pdf,470,2022-09-26,8.89,/Users/chenyuang/Desktop/巨潮网资料/2022/688137_近岸蛋白_2022-09-26.pdf,2022
万润新能,688275,科创板,688275_万润新能_2022-09-23.pdf,502,2022-09-23,11.87,/Users/chenyuang/Desktop/巨潮网资料/2022/688275_万润新能_2022-09-23.pdf,2022
唯特偶,301319,创业板,301319_唯特偶_2022-09-26.pdf,468,2022-09-26,8.58,/Users/chenyuang/Desktop/巨潮网资料/2022/301319_唯特偶_2022-09-26.pdf,2022
格灵深瞳,688207,科创板,688207_格灵深瞳_2022-03-11.pdf,442,2022-03-11,6.54,/Users/chenyuang/Desktop/巨潮网资料/2022/688207_格灵深瞳_2022-03-11.pdf,2022
华大九天,301269,创业板,301269_华大九天_2022-07-25.pdf,375,2022-07-25,7.5,/Users/chenyuang/Desktop/巨潮网资料/2022/301269_华大九天_2022-07-25.pdf,2022
浩瀚深度,688292,科创板,688292_浩瀚深度_2022-08-11.pdf,432,2022-08-11,5.7,/Users/chenyuang/Desktop/巨潮网资料/2022/688292_浩瀚深度_2022-08-11.pdf,2022
杉杉股份,600884,沪主板,600884_杉杉股份_2022-07-23.pdf,1,2022-07-23,0.28,/Users/chenyuang/Desktop/巨潮网资料/2022/600884_杉杉股份_2022-07-23.pdf,2022
久量股份,300808,创业板,300808_久量股份_2022-12-15.pdf,3,2022-12-15,0.1,/Users/chenyuang/Desktop/巨潮网资料/2022/300808_久量股份_2022-12-15.pdf,2022
