公司名称,股票代码,板块,公告标题,公告时间,文件名,文件大小(MB),页码数,文件路径,下载时间,年份
百利天恒,688506,沪市主板,百利天恒首次公开发行股票并在科创板上市招股说明书,2022-12-30 00:00:00,百利天恒_688506_2022-12-30_百利天恒首次公开发行股票并在科创板上市招股说明书.pdf,9.68,556,data/scratch_results/百利天恒_688506_2022-12-30_百利天恒首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:01,2022
富乐德,301297,创业板,首次公开发行股票并在创业板上市招股说明书,2022-12-27 00:00:00,富乐德_301297_2022-12-27_首次公开发行股票并在创业板上市招股说明书.pdf,11.67,494,data/scratch_results/富乐德_301297_2022-12-27_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:02,2022
佰维存储,688525,沪市主板,佰维存储首次公开发行股票并在科创板上市招股说明书,2022-12-27 00:00:00,佰维存储_688525_2022-12-27_佰维存储首次公开发行股票并在科创板上市招股说明书.pdf,12.94,467,data/scratch_results/佰维存储_688525_2022-12-27_佰维存储首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:03,2022
信达证券,601059,沪市主板,信达证券首次公开发行股票招股说明书摘要,2022-12-23 00:00:00,信达证券_601059_2022-12-23_信达证券首次公开发行股票招股说明书摘要.pdf,3.51,158,data/scratch_results/信达证券_601059_2022-12-23_信达证券首次公开发行股票招股说明书摘要.pdf,2026-05-27 22:53:03,2022
清越科技,688496,沪市主板,清越科技首次公开发行股票并在科创板上市招股说明书,2022-12-23 00:00:00,清越科技_688496_2022-12-23_清越科技首次公开发行股票并在科创板上市招股说明书.pdf,9.51,493,data/scratch_results/清越科技_688496_2022-12-23_清越科技首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:04,2022
川宁生物,301301,创业板,首次公开发行股票并在创业板上市招股说明书,2022-12-22 00:00:00,川宁生物_301301_2022-12-22_首次公开发行股票并在创业板上市招股说明书.pdf,7.72,539,data/scratch_results/川宁生物_301301_2022-12-22_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:06,2022
萤石网络,688475,沪市主板,萤石网络首次公开发行股票并在科创板上市招股说明书,2022-12-22 00:00:00,萤石网络_688475_2022-12-22_萤石网络首次公开发行股票并在科创板上市招股说明书.pdf,15.46,613,data/scratch_results/萤石网络_688475_2022-12-22_萤石网络首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:07,2022
山外山,688410,沪市主板,山外山首次公开发行股票并在科创板上市招股说明书,2022-12-21 00:00:00,山外山_688410_2022-12-21_山外山首次公开发行股票并在科创板上市招股说明书.pdf,7.26,451,data/scratch_results/山外山_688410_2022-12-21_山外山首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:07,2022
珠城科技,301280,创业板,首次公开发行股票并在创业板上市招股说明书,2022-12-21 00:00:00,珠城科技_301280_2022-12-21_首次公开发行股票并在创业板上市招股说明书.pdf,6.07,401,data/scratch_results/珠城科技_301280_2022-12-21_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:08,2022
微导纳米,688147,沪市主板,微导纳米首次公开发行股票并在科创板上市招股说明书,2022-12-20 00:00:00,微导纳米_688147_2022-12-20_微导纳米首次公开发行股票并在科创板上市招股说明书.pdf,8.82,391,data/scratch_results/微导纳米_688147_2022-12-20_微导纳米首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:09,2022
杰华特,688141,沪市主板,杰华特首次公开发行股票并在科创板上市招股说明书,2022-12-20 00:00:00,杰华特_688141_2022-12-20_杰华特首次公开发行股票并在科创板上市招股说明书.pdf,8.74,420,data/scratch_results/杰华特_688141_2022-12-20_杰华特首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:10,2022
鸿铭股份,301105,创业板,首次公开发行股票并在创业板上市招股说明书,2022-12-16 00:00:00,鸿铭股份_301105_2022-12-16_首次公开发行股票并在创业板上市招股说明书.pdf,6.96,517,data/scratch_results/鸿铭股份_301105_2022-12-16_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:11,2022
源杰科技,688498,沪市主板,源杰科技首次公开发行股票并在科创板上市招股说明书,2022-12-16 00:00:00,源杰科技_688498_2022-12-16_源杰科技首次公开发行股票并在科创板上市招股说明书.pdf,9.62,409,data/scratch_results/源杰科技_688498_2022-12-16_源杰科技首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:12,2022
燕东微,688172,沪市主板,燕东微首次公开发行股票并在科创板上市招股说明书,2022-12-13 00:00:00,燕东微_688172_2022-12-13_燕东微首次公开发行股票并在科创板上市招股说明书.pdf,11.17,482,data/scratch_results/燕东微_688172_2022-12-13_燕东微首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:13,2022
华新环保,301265,创业板,首次公开发行股票并在创业板上市招股说明书,2022-12-12 00:00:00,华新环保_301265_2022-12-12_首次公开发行股票并在创业板上市招股说明书.pdf,6.86,707,data/scratch_results/华新环保_301265_2022-12-12_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:13,2022
星源卓镁,301398,创业板,首次公开发行股票并在创业板上市招股说明书,2022-12-12 00:00:00,星源卓镁_301398_2022-12-12_首次公开发行股票并在创业板上市招股说明书.pdf,6.92,551,data/scratch_results/星源卓镁_301398_2022-12-12_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:14,2022
丰立智能,301368,创业板,首次公开发行股票并在创业板上市招股说明书,2022-12-09 00:00:00,丰立智能_301368_2022-12-09_首次公开发行股票并在创业板上市招股说明书.pdf,15.97,458,data/scratch_results/丰立智能_301368_2022-12-09_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:15,2022
通力科技,301255,创业板,首次公开发行股票并在创业板上市招股说明书,2022-12-08 00:00:00,通力科技_301255_2022-12-08_首次公开发行股票并在创业板上市招股说明书.pdf,8.74,368,data/scratch_results/通力科技_301255_2022-12-08_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:16,2022
艾罗能源,688717,沪市主板,艾罗能源首次公开发行股票并在科创板上市招股说明书,2023-12-28 00:00:00,艾罗能源_688717_2023-12-28_艾罗能源首次公开发行股票并在科创板上市招股说明书.pdf,7.64,457,data/scratch_results/艾罗能源_688717_2023-12-28_艾罗能源首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:17,2023
达利凯普,301566,创业板,首次公开发行股票并在创业板上市招股说明书,2023-12-26 00:00:00,达利凯普_301566_2023-12-26_首次公开发行股票并在创业板上市招股说明书.pdf,14.79,381,data/scratch_results/达利凯普_301566_2023-12-26_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:18,2023
辰奕智能,301578,创业板,首次公开发行股票并在创业板上市招股说明书,2023-12-25 00:00:00,辰奕智能_301578_2023-12-25_首次公开发行股票并在创业板上市招股说明书.pdf,7.76,357,data/scratch_results/辰奕智能_301578_2023-12-25_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:19,2023
鼎龙科技,603004,沪市主板,鼎龙科技首次公开发行股票并在主板上市招股说明书,2023-12-22 00:00:00,鼎龙科技_603004_2023-12-22_鼎龙科技首次公开发行股票并在主板上市招股说明书.pdf,5.64,503,data/scratch_results/鼎龙科技_603004_2023-12-22_鼎龙科技首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:19,2023
国际复材,301526,创业板,首次公开发行股票并在创业板上市招股说明书,2023-12-21 00:00:00,国际复材_301526_2023-12-21_首次公开发行股票并在创业板上市招股说明书.pdf,6.94,561,data/scratch_results/国际复材_301526_2023-12-21_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:20,2023
宏盛华源,601096,沪市主板,宏盛华源首次公开发行股票并在主板上市招股说明书,2023-12-19 00:00:00,宏盛华源_601096_2023-12-19_宏盛华源首次公开发行股票并在主板上市招股说明书.pdf,13.53,576,data/scratch_results/宏盛华源_601096_2023-12-19_宏盛华源首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:21,2023
兴欣新材,001358,深市主板,首次公开发行股票并在主板上市招股说明书,2023-12-18 00:00:00,兴欣新材_001358_2023-12-18_首次公开发行股票并在主板上市招股说明书.pdf,9.28,446,data/scratch_results/兴欣新材_001358_2023-12-18_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:22,2023
安邦护卫,603373,沪市主板,安邦护卫首次公开发行股票并在主板上市招股说明书,2023-12-15 00:00:00,安邦护卫_603373_2023-12-15_安邦护卫首次公开发行股票并在主板上市招股说明书.pdf,5.93,523,data/scratch_results/安邦护卫_603373_2023-12-15_安邦护卫首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:23,2023
安培龙,301413,创业板,首次公开发行股票并在创业板上市招股说明书,2023-12-13 00:00:00,安培龙_301413_2023-12-13_首次公开发行股票并在创业板上市招股说明书.pdf,5.35,395,data/scratch_results/安培龙_301413_2023-12-13_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:23,2023
索宝蛋白,603231,沪市主板,索宝蛋白首次公开发行股票并在主板上市招股说明书,2023-12-08 00:00:00,索宝蛋白_603231_2023-12-08_索宝蛋白首次公开发行股票并在主板上市招股说明书.pdf,7.59,372,data/scratch_results/索宝蛋白_603231_2023-12-08_索宝蛋白首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:24,2023
丰茂股份,301459,创业板,首次公开发行股票并在创业板上市招股说明书,2023-12-08 00:00:00,丰茂股份_301459_2023-12-08_首次公开发行股票并在创业板上市招股说明书.pdf,8.19,330,data/scratch_results/丰茂股份_301459_2023-12-08_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:25,2023
永达股份,001239,深市主板,首次公开发行股票并在主板上市招股说明书,2023-12-06 00:00:00,永达股份_001239_2023-12-06_首次公开发行股票并在主板上市招股说明书.pdf,8.48,441,data/scratch_results/永达股份_001239_2023-12-06_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:26,2023
中远通,301516,创业板,首次公开发行股票并在创业板上市招股说明书,2023-12-05 00:00:00,中远通_301516_2023-12-05_首次公开发行股票并在创业板上市招股说明书.pdf,6.64,475,data/scratch_results/中远通_301516_2023-12-05_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:27,2023
艾森股份,688720,沪市主板,艾森股份首次公开发行股票并在科创板上市招股说明书,2023-12-01 00:00:00,艾森股份_688720_2023-12-01_艾森股份首次公开发行股票并在科创板上市招股说明书.pdf,5.07,368,data/scratch_results/艾森股份_688720_2023-12-01_艾森股份首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:28,2023
锦江航运,601083,沪市主板,锦江航运首次公开发行股票并在主板上市招股说明书,2023-11-30 00:00:00,锦江航运_601083_2023-11-30_锦江航运首次公开发行股票并在主板上市招股说明书.pdf,6.17,442,data/scratch_results/锦江航运_601083_2023-11-30_锦江航运首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:28,2023
中机认检,301508,创业板,首次公开发行股票并在创业板上市招股说明书,2023-11-27 00:00:00,中机认检_301508_2023-11-27_首次公开发行股票并在创业板上市招股说明书.pdf,9.04,496,data/scratch_results/中机认检_301508_2023-11-27_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:29,2023
京仪装备,688652,沪市主板,京仪装备首次公开发行股票并在科创板上市招股说明书,2023-11-24 00:00:00,京仪装备_688652_2023-11-24_京仪装备首次公开发行股票并在科创板上市招股说明书.pdf,9.25,387,data/scratch_results/京仪装备_688652_2023-11-24_京仪装备首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:30,2023
思泰克,301568,创业板,首次公开发行股票并在创业板上市招股说明书,2023-11-23 00:00:00,思泰克_301568_2023-11-23_首次公开发行股票并在创业板上市招股说明书.pdf,7.92,432,data/scratch_results/思泰克_301568_2023-11-23_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:31,2023
康希通信,688653,沪市主板,康希通信首次公开发行股票并在科创板上市招股说明书,2023-11-14 00:00:00,康希通信_688653_2023-11-14_康希通信首次公开发行股票并在科创板上市招股说明书.pdf,6.35,430,data/scratch_results/康希通信_688653_2023-11-14_康希通信首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:32,2023
夏厦精密,001306,深市主板,首次公开发行股票并在主板上市招股说明书,2023-11-13 00:00:00,夏厦精密_001306_2023-11-13_首次公开发行股票并在主板上市招股说明书.pdf,8.35,463,data/scratch_results/夏厦精密_001306_2023-11-13_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:33,2023
天和磁材,603072,沪市主板,天和磁材首次公开发行股票并在主板上市招股说明书,2024-12-26 00:00:00,天和磁材_603072_2024-12-26_天和磁材首次公开发行股票并在主板上市招股说明书.pdf,7.48,564,data/scratch_results/天和磁材_603072_2024-12-26_天和磁材首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:34,2024
国货航,001391,深市主板,首次公开发行股票并在主板上市招股说明书,2024-12-25 00:00:00,国货航_001391_2024-12-25_首次公开发行股票并在主板上市招股说明书.pdf,7.27,474,data/scratch_results/国货航_001391_2024-12-25_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:35,2024
黄山谷捷,301581,创业板,首次公开发行股票并在创业板上市招股说明书,2024-12-19 00:00:00,黄山谷捷_301581_2024-12-19_首次公开发行股票并在创业板上市招股说明书.pdf,5.44,343,data/scratch_results/黄山谷捷_301581_2024-12-19_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:36,2024
中力股份,603194,沪市主板,中力股份首次公开发行股票并在主板上市招股说明书,2024-12-19 00:00:00,中力股份_603194_2024-12-19_中力股份首次公开发行股票并在主板上市招股说明书.pdf,8.27,603,data/scratch_results/中力股份_603194_2024-12-19_中力股份首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:53:37,2024
蓝宇股份,301585,创业板,首次公开发行股票并在创业板上市招股说明书,2024-12-12 00:00:00,蓝宇股份_301585_2024-12-12_首次公开发行股票并在创业板上市招股说明书.pdf,5.84,432,data/scratch_results/蓝宇股份_301585_2024-12-12_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:38,2024
先锋精科,688605,沪市主板,先锋精科首次公开发行股票并在科创板上市招股说明书,2024-12-06 00:00:00,先锋精科_688605_2024-12-06_先锋精科首次公开发行股票并在科创板上市招股说明书.pdf,5.93,408,data/scratch_results/先锋精科_688605_2024-12-06_先锋精科首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:38,2024
博科测试,301598,创业板,首次公开发行股票并在创业板上市招股说明书,2024-12-05 00:00:00,博科测试_301598_2024-12-05_首次公开发行股票并在创业板上市招股说明书.pdf,9.11,516,data/scratch_results/博科测试_301598_2024-12-05_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:39,2024
博苑股份,301617,创业板,首次公开发行股票并在创业板上市招股说明书,2024-12-05 00:00:00,博苑股份_301617_2024-12-05_首次公开发行股票并在创业板上市招股说明书.pdf,5.25,399,data/scratch_results/博苑股份_301617_2024-12-05_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:41,2024
佳驰科技,688708,沪市主板,佳驰科技首次公开发行股票并在科创板上市招股说明书,2024-11-29 00:00:00,佳驰科技_688708_2024-11-29_佳驰科技首次公开发行股票并在科创板上市招股说明书.pdf,5.66,390,data/scratch_results/佳驰科技_688708_2024-11-29_佳驰科技首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:53:41,2024
英思特,301622,创业板,首次公开发行股票并在创业板上市招股说明书,2024-11-28 00:00:00,英思特_301622_2024-11-28_首次公开发行股票并在创业板上市招股说明书.pdf,8.03,372,data/scratch_results/英思特_301622_2024-11-28_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:53:42,2024
